,样本数,平均值,中位数,标准差,最小值,最大值,90%分位数,95%分位数
sequence_decision_density,3304,2.0314769975786926,2.0,0.6825373384384409,1.0,4.0,3.0,3.0
conditional_branching_complexity,3304,1.4497578692493946,1.0,0.5696055134045221,1.0,3.0,2.0,2.0
goal_orientedness,3304,2.391646489104116,3.0,0.7693825927675275,1.0,4.0,3.0,3.0
uncertainty_and_exploration,3304,1.4709443099273607,1.0,0.6945160940034932,1.0,4.0,3.0,3.0
interactivity,3304,1.2206416464891041,1.0,0.5300969697790252,1.0,4.0,2.0,2.849999999999909
feedback_loops,3304,1.3583535108958837,1.0,0.6354425995599555,1.0,4.0,2.0,3.0
multi_agent_collaboration,3304,1.2763317191283292,1.0,0.5871541252762429,1.0,4.0,2.0,3.0
resource_management,3304,1.3174939467312348,1.0,0.5859255624417187,1.0,4.0,2.0,3.0
risk_assessment_and_trade_offs,3304,1.5290556900726393,1.0,0.7347625931876665,1.0,4.0,3.0,3.0
long_term_planning_horizon,3304,1.4346246973365617,1.0,0.7076158806312521,1.0,4.0,3.0,3.0
tool_invocation_simulation,3304,1.2167070217917675,1.0,0.5009339664583952,1.0,4.0,2.0,2.0
adaptation_to_changes,3304,1.5944309927360776,1.0,0.764512934703281,1.0,4.0,3.0,3.0
IASS_Total,3304,18.291464891041162,17.0,5.311100323991917,12.0,44.0,26.0,29.0
score-argument_theme_coherence_and_unity_score,3304,3.5305215480722403,3.602354272473727,0.4951077903534727,1.379282413697249,4.641151240691924,4.100808320801906,4.20880606900112
score-data_quality_noise_spectrum_score,3304,2.938319436899489,2.927408417571131,0.46275499656733265,1.4295831259509164,4.325348591894898,3.5824736916246294,3.6983193306547015
score-educational_value_score,3304,2.643996547098984,2.737912725322924,0.7662602394505187,1.0241269756872942,4.543163814690928,3.6224763756406952,3.776730587929604
score-healthness_score,3304,4.591281245827097,4.67642106956292,0.323371655714415,2.05868448993467,4.980170928078015,4.845878775341422,4.8869347987397775
score-knowledge_breadth_score,3304,2.046542861837077,1.9394702040459049,0.6397523387798956,1.0655316454127717,4.295160075993152,2.9542822282146077,3.2713039873022276
score-knowledge_density_score,3304,3.0349120227202695,3.0449933811143666,0.6111213087509894,1.1768027343213163,4.6462890455339165,3.882815913183556,4.020167774725211
score-knowledge_depth_score,3304,2.628668990711999,2.67224212556,0.6959679236763737,1.0372297260234928,4.486808310843367,3.5212562039336652,3.7480908286958137
score-linguistic_quality_and_clarity_score,3304,2.8324529033243717,2.841410599903302,0.34942992553459784,1.7306931570165927,4.056000457867331,3.2511189381456904,3.3926498793926267
score-originality_and_novelty_score,3304,1.835133583666739,1.7341656485501273,0.5143585147885112,1.0155667306105045,3.9947979163996545,2.5691326956434564,2.836702209656781
score-overall_quality_score,3304,2.9297745236408974,2.964617651330577,0.3910260048650969,1.4595208947453893,4.075112882747272,3.390697299707979,3.4981812186783006
score-public_acceptance_score,3304,3.3122076975969983,3.5344383583742314,0.6899339553683557,1.3996002781924302,4.452100658498184,4.045441032469981,4.125736308415567
score-reasoning_clarity_and_structure_score,3304,2.8889141758404207,3.0221995050071646,0.6266124002880645,1.0799406453358271,4.129486304429674,3.5740271409525146,3.698206325856022
score-reasoning_depth_and_nuance_score,3304,2.191852859062355,2.1489888587534782,0.6531304592996873,1.013678616079748,4.195237447424205,3.081712756432114,3.3274116945858654
score-reasoning_soundness_and_evidence_score,3304,2.571679244989089,2.55524087725676,0.6222732986052629,1.047825957885656,4.316592037706121,3.4134886173088455,3.6654647082970047
score-style_technicality_score,3304,2.651553369882021,2.687202328105463,0.7642833187018887,1.0376858542024603,4.449832238538353,3.6558073158672304,3.7953768156044356
score-syntactic_complexity_score,3304,2.509967741698623,2.585814683832423,0.5003589061757462,1.0397262588861989,3.854186584812013,3.0764761788108848,3.19865209063628
